source_id,respondent_id_text,usia,gender,jk,urutan_raw,urutan,F1,G1,F2,G2,F3,G3,F4,G4,F5,G5,F6,G6,F7,G7,F8,G8,F9,G9,F10,G10,F11,G11,F12,G12,F13,G13,F14,G14,F15,G15,F16,G16,formal_cuq_0_100,genz_cuq_0_100,diff_genz_minus_formal
6fc65fa3-79f2-4093-a14a-3867212adac3,543,17,Perempuan,P,Gen-Z → Formal,G→F,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,4,5,5,4,4,5,5,5,5,5,92.1875,93.75,1.5625
70b4e626-0bd2-4858-95d6-07b82bdc4d1a,8,17,Perempuan,P,Formal → Gen-Z,F→G,2,3,3,3,3,4,5,4,5,5,5,5,3,3,4,1,5,4,5,3,5,3,5,3,4,4,5,5,5,4,4,4,81.25,65.625,-15.625
70c18e1e-7954-4b42-a056-9a5f993306a2,207,17,Laki-laki,L,Gen-Z → Formal,G→F,4,4,3,3,4,4,4,4,4,4,4,3,4,4,4,4,5,4,3,4,4,5,5,5,4,4,4,4,4,5,3,4,73.4375,76.5625,3.125
70dde382-1997-45dc-9b48-5077f81969dd,159,17,Perempuan,P,Formal → Gen-Z,F→G,3,5,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,5,5,1,3,85.9375,85.9375,0.0
7149dda4-b79d-4362-a9b7-3272de02b90b,194,17,Perempuan,P,Formal → Gen-Z,F→G,3,3,3,3,5,5,5,4,4,3,4,2,3,3,4,5,5,5,4,5,5,5,5,5,3,4,5,5,5,5,3,3,78.125,76.5625,-1.5625
7226a904-7b22-4e8c-bb96-f2ca255a4711,47,17,Perempuan,P,Formal → Gen-Z,F→G,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,5,4,4,4,4,2,2,73.4375,76.5625,3.125
7231c503-c189-4cdc-aa15-d5f9edb82bb9,86,16,Perempuan,P,Formal → Gen-Z,F→G,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,95.3125,95.3125,0.0
726d22d2-2d48-43b5-861f-139e763a5eca,305,17,Perempuan,P,Gen-Z → Formal,G→F,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,50.0,50.0,0.0
729ca192-9291-412b-a9b3-37df2ac04ec5,128,18,Laki-laki,L,Formal → Gen-Z,F→G,2,3,2,3,3,4,4,2,3,2,3,2,4,3,4,2,4,3,3,3,4,4,5,4,3,4,2,3,3,3,2,3,54.6875,50.0,-4.6875
72c70c2a-e1be-4412-9916-ea9ec8e5ef75,427,18,Perempuan,P,Gen-Z → Formal,G→F,4,4,4,5,3,1,4,4,5,4,5,4,4,4,3,3,4,5,4,4,5,4,4,5,4,4,5,5,5,5,2,2,76.5625,73.4375,-3.125
74258a6f-35eb-43a6-9dd4-a69779c986f9,40,18,Laki-laki,L,Formal → Gen-Z,F→G,3,4,3,5,4,5,5,5,5,4,5,5,4,4,5,5,3,4,3,5,4,4,5,5,3,3,5,5,5,5,4,5,78.125,89.0625,10.9375
74387f77-073c-4f89-9db7-2b4995853dfb,69,17,Perempuan,P,Gen-Z → Formal,G→F,4,4,4,3,4,5,5,5,4,5,4,4,3,4,3,3,4,4,3,4,4,5,4,5,5,5,5,5,5,5,3,4,75.0,84.375,9.375
74546110-ab38-4a21-9549-077376d97b7a,65,17,Perempuan,P,Gen-Z → Formal,G→F,4,4,3,4,2,1,4,5,5,5,5,5,4,4,4,5,5,5,4,4,5,5,5,5,5,5,5,4,5,5,1,1,78.125,79.6875,1.5625
747d9d8a-1da9-4fdb-93bb-ba6979af92dd,297,18,Laki-laki,L,Gen-Z → Formal,G→F,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,50.0,50.0,0.0
757e8e23-10f9-42e8-84cb-3a702438e1ef,3,17,Laki-laki,L,Formal → Gen-Z,F→G,4,3,2,4,4,4,5,4,2,4,3,2,2,4,3,4,2,2,4,2,4,2,3,3,2,4,3,4,2,4,4,4,51.5625,59.375,7.8125
75a4a07c-c7b3-4f74-b671-dc30b95ea4af,229,17,Laki-laki,L,Formal → Gen-Z,F→G,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,54.6875,50.0,-4.6875
75b85d21-adde-438f-ae3e-2f37a8ccc562,181,16,Laki-laki,L,Formal → Gen-Z,F→G,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,1,1,90.625,92.1875,1.5625
769466b2-a4b0-42cc-be1d-6e66e9ee0d9a,332,18,Perempuan,P,Gen-Z → Formal,G→F,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,93.75,93.75,0.0
76fd1723-9cd8-4a3e-9807-acc04c2ad248,11,18,Perempuan,P,Gen-Z → Formal,G→F,5,3,3,3,5,3,5,3,4,3,5,3,5,3,5,3,5,3,4,1,5,2,5,1,4,4,5,4,5,4,1,3,85.9375,46.875,-39.0625
77179c1d-72db-429e-9615-c44b21540270,281,18,Perempuan,P,Formal → Gen-Z,F→G,3,4,3,4,4,3,4,5,5,5,4,5,4,3,4,4,4,4,4,4,5,5,5,5,4,4,4,4,3,3,3,2,73.4375,75.0,1.5625
774cb653-6dea-4109-a6d7-d46576af9b8e,168,18,Perempuan,P,Formal → Gen-Z,F→G,5,4,4,4,5,4,5,4,4,4,5,4,3,4,5,4,5,4,5,4,5,5,5,5,4,4,4,4,4,5,2,2,84.375,76.5625,-7.8125
779a7bf6-7bdc-41f1-9bc0-056475f4f009,348,18,Laki-laki,L,Formal → Gen-Z,F→G,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,50.0,50.0,0.0
77def62a-9680-455b-bda6-10120130f062,567,17,Perempuan,P,Formal → Gen-Z,F→G,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,50.0,50.0,0.0
795c7804-a7cd-448f-b6b7-58ccd3edb418,208,18,Perempuan,P,Gen-Z → Formal,G→F,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100.0,100.0,0.0
79a34436-a91f-45da-950d-66a9f7ec3d64,114,18,Laki-laki,L,Formal → Gen-Z,F→G,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,50.0,50.0,0.0
7ad89401-17c7-463b-8e8b-5881707a5c08,294,17,Perempuan,P,Formal → Gen-Z,F→G,3,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,90.625,100.0,9.375
7b0ca48e-5a0a-4620-b918-98fa1fbabf00,110,17,Perempuan,P,Gen-Z → Formal,G→F,4,4,2,4,5,4,5,4,5,4,5,5,4,4,4,5,4,5,4,5,5,5,4,5,5,4,5,5,5,4,1,2,79.6875,82.8125,3.125
7be74c1a-0220-43d5-b9d8-d31291261d4b,218,17,Laki-laki,L,Formal → Gen-Z,F→G,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,3,5,3,1,2,50.0,51.5625,1.5625
7c92e2ad-73be-4203-9ac9-54592e5a8380,489,17,Laki-laki,L,Gen-Z → Formal,G→F,4,4,3,4,5,5,5,5,4,5,4,5,4,5,5,5,4,5,5,5,5,5,5,5,4,4,3,4,5,5,3,3,81.25,90.625,9.375
7d05ed39-8833-4bf5-9707-8d7841f75643,420,18,Perempuan,P,Formal → Gen-Z,F→G,3,4,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,4,2,3,3,3,46.875,56.25,9.375
7d8b1248-b141-4099-a610-86c905ce99c0,535,17,Perempuan,P,Formal → Gen-Z,F→G,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,92.1875,93.75,1.5625
7dd0f9e6-4925-466a-8ad9-7b9ec79c955c,348,18,Laki-laki,L,Gen-Z → Formal,G→F,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,50.0,50.0,0.0
7f60a61d-03e7-4a01-9f8f-cb357dfc976e,99,17,Perempuan,P,Formal → Gen-Z,F→G,3,5,3,5,3,4,4,5,4,4,5,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,2,2,65.625,75.0,9.375
7ff69b94-7202-4978-835c-3c048cefc792,231,17,Laki-laki,L,Formal → Gen-Z,F→G,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,96.875,98.4375,1.5625
8002243f-05ba-4774-9661-fb11916413f4,399,17,Laki-laki,L,Formal → Gen-Z,F→G,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,70.3125,73.4375,3.125
800478df-7b26-4638-bee0-2a472e7a78a6,247,17,Perempuan,P,Formal → Gen-Z,F→G,2,2,5,3,3,2,5,4,5,5,5,3,4,2,3,4,3,3,2,5,3,5,4,5,2,3,3,3,2,4,2,2,57.8125,60.9375,3.125
80683e97-5a27-48e0-8d34-251ba3831c02,171,18,Laki-laki,L,Formal → Gen-Z,F→G,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100.0,100.0,0.0
80fa109f-bddd-4f74-bbca-f4bba99cdead,174,17,Laki-laki,L,Formal → Gen-Z,F→G,4,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,85.9375,87.5,1.5625
81d74bfc-c7f0-4d0d-b8e6-d8bd407b0770,57,17,Laki-laki,L,Gen-Z → Formal,G→F,3,4,4,4,3,3,4,4,2,2,2,4,4,2,2,4,3,5,3,3,3,4,2,4,2,4,4,4,5,4,4,2,53.125,64.0625,10.9375
8312d5b1-187d-46aa-a5d0-99468bb98b76,532,18,Laki-laki,L,Formal → Gen-Z,F→G,3,4,3,3,3,3,1,3,2,3,4,3,2,3,2,2,1,2,4,3,3,2,4,3,3,2,3,4,4,3,3,3,45.3125,46.875,1.5625
8366163f-03e6-4e76-bfab-d682405560dd,6,18,Perempuan,P,Formal → Gen-Z,F→G,2,3,3,3,3,4,5,2,5,5,5,5,3,2,4,1,4,1,5,2,5,2,5,3,4,3,5,3,5,1,3,5,78.125,45.3125,-32.8125
83a1ebea-a9d7-43df-be8e-94fae56b91ba,205,18,Laki-laki,L,Formal → Gen-Z,F→G,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,50.0,50.0,0.0
84b60068-abae-4b1b-a6f2-07757fea1607,142,17,Perempuan,P,Formal → Gen-Z,F→G,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,50.0,50.0,0.0
85198aac-16d3-400e-a0f6-ef2d26637233,581,17,Laki-laki,L,Gen-Z → Formal,G→F,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,50.0,50.0,0.0
8567782b-237c-4154-bde8-ca7e6dc108d9,398,17,Perempuan,P,Formal → Gen-Z,F→G,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,50.0,50.0,0.0
872404bc-b157-4af7-9610-cd759b6c1e9e,314,18,Perempuan,P,Formal → Gen-Z,F→G,3,4,2,4,4,4,4,4,5,4,4,4,4,4,5,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,70.3125,75.0,4.6875
87863eef-5011-4191-b81b-42e7213922ce,237,16,Perempuan,P,Formal → Gen-Z,F→G,3,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,4,4,4,5,5,5,5,4,4,4,5,5,5,5,5,87.5,95.3125,7.8125
87dbaa63-b80a-491e-a9cd-2d754c96ee70,210,17,Laki-laki,L,Formal → Gen-Z,F→G,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,50.0,50.0,0.0
89c81524-09b0-4b85-8352-14f418f43284,565,17,Perempuan,P,Formal → Gen-Z,F→G,4,3,3,3,5,5,4,3,4,4,2,4,4,4,4,4,4,4,4,4,5,4,4,4,3,4,4,4,4,4,4,5,71.875,73.4375,1.5625
8a136670-42c9-4c72-9f17-078c54bd4b8d,154,17,Perempuan,P,Gen-Z → Formal,G→F,3,4,2,2,5,4,3,3,4,3,4,2,2,3,3,2,4,4,2,3,4,5,3,3,3,4,3,2,5,5,2,2,56.25,54.6875,-1.5625
8a4878d7-460d-4734-ac51-bc0f75be3240,509,17,Perempuan,P,Gen-Z → Formal,G→F,2,3,2,4,4,4,3,3,4,4,4,4,2,2,5,3,3,3,4,2,4,5,4,2,3,3,4,2,5,4,3,4,62.5,56.25,-6.25
8b2c6220-2f3f-452c-be88-f2735c43c5e6,179,17,Perempuan,P,Formal → Gen-Z,F→G,5,5,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,1,1,89.0625,92.1875,3.125
8b4d7b82-e3e1-4690-a694-bc24713b0f41,287,17,Perempuan,P,Formal → Gen-Z,F→G,4,5,4,5,4,3,5,5,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,85.9375,89.0625,3.125
8c3118cc-604d-40d6-9d4d-fe6059cc310f,496,17,Laki-laki,L,Formal → Gen-Z,F→G,4,5,2,3,4,5,4,4,4,4,4,3,4,4,3,3,3,4,3,3,4,4,4,4,4,4,4,4,4,3,2,2,64.0625,67.1875,3.125
8cd47c5a-5cfc-43ae-a96a-92581c529e28,198,18,Laki-laki,L,Gen-Z → Formal,G→F,4,4,4,4,4,3,5,5,3,4,3,3,3,3,3,3,4,4,2,3,3,4,4,4,3,3,3,4,4,4,3,3,60.9375,65.625,4.6875
8daba505-08ec-4615-9d8a-61f46b0c2056,201,18,Perempuan,P,Formal → Gen-Z,F→G,5,5,5,5,4,4,5,5,4,5,1,2,5,4,3,3,4,4,3,3,5,5,5,4,4,4,4,4,5,4,5,4,79.6875,76.5625,-3.125
8ead3fd4-5e9f-48c8-ba4c-a5f422a3343a,400,17,Perempuan,P,Gen-Z → Formal,G→F,4,5,4,5,4,5,4,5,5,5,4,5,5,5,4,5,4,5,4,5,5,5,4,5,4,5,4,5,5,5,1,3,76.5625,96.875,20.3125
