Kode,JK,Usia,Urutan,F1,G1,F2,G2,F3,G3,F4,G4,F5,G5,F6,G6,F7,G7,F8,G8,F9,G9,F10,G10,F11,G11,F12,G12,F13,G13,F14,G14,F15,G15,F16,G16
579,P,18,F→G,5,5,1,1,5,5,1,1,5,5,1,1,5,5,2,1,5,5,1,1,5,5,1,1,5,5,1,1,4,5,2,2
43,L,17,F→G,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
398,P,17,G→F,4,5,3,2,4,3,2,1,3,3,1,5,3,4,2,3,4,4,3,4,3,5,2,1,3,3,2,3,5,4,3,3
360,P,17,G→F,4,4,2,2,5,5,1,2,5,4,2,2,5,5,1,1,5,5,2,2,4,3,2,1,3,5,2,1,4,5,4,4
212,P,17,F→G,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1
561,L,17,F→G,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1
341,L,18,G→F,4,4,3,3,5,4,2,3,4,4,3,3,4,4,2,4,4,3,3,4,4,4,3,3,3,4,4,3,4,4,4,3
28,L,17,F→G,4,4,2,2,4,4,2,2,4,3,2,2,3,4,2,2,4,4,3,3,4,4,2,2,4,4,2,2,4,4,4,4
42,P,17,F→G,3,4,2,2,4,4,1,2,5,4,2,2,3,4,1,1,3,3,1,2,4,4,1,1,4,3,1,1,4,3,2,2
189,P,17,F→G,4,4,4,4,4,4,2,2,4,4,3,4,3,4,2,3,4,3,3,3,4,4,3,3,4,4,4,4,4,4,4,4
227,P,17,F→G,5,5,3,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1
562,L,17,G→F,5,5,5,1,5,5,5,5,5,5,5,1,5,5,5,1,5,5,5,3,5,5,5,1,5,5,5,1,5,5,5,2
284,P,17,F→G,4,4,2,1,4,4,2,1,4,5,1,1,3,4,1,1,4,5,1,1,5,5,1,1,3,4,1,1,5,5,5,5
511,P,18,F→G,4,4,3,4,4,4,1,4,5,4,3,4,3,4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,4,4,4,4
469,L,17,F→G,3,4,2,1,4,4,1,1,5,5,1,2,4,3,2,3,3,4,2,2,4,5,1,1,4,4,2,2,5,5,5,5
425,P,17,G→F,4,4,2,2,4,4,1,2,4,4,2,2,3,3,2,2,4,4,2,2,5,5,2,1,4,4,2,2,4,4,2,2
88,L,17,G→F,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
23,P,17,F→G,4,5,5,1,3,2,1,1,4,5,1,4,3,3,3,3,4,4,2,3,4,4,1,2,3,2,3,2,4,4,4,4
21,P,17,F→G,3,4,2,3,3,4,4,2,3,4,4,2,4,3,2,2,3,4,3,3,4,4,4,3,3,3,3,2,4,4,3,4
265,P,18,F→G,4,5,3,1,4,4,1,1,5,5,5,1,5,4,3,4,5,1,5,2,5,5,1,1,5,5,1,1,5,5,5,5
447,P,17,F→G,4,4,3,2,4,5,2,2,5,4,1,2,4,4,2,2,4,4,1,2,5,5,1,2,4,4,1,2,4,4,3,3
146,P,17,F→G,4,4,2,2,3,4,2,2,4,4,2,2,3,3,2,3,3,3,2,3,4,4,2,2,3,2,2,2,4,4,4,4
435,L,17,F→G,4,4,1,1,4,4,1,1,4,4,1,1,4,4,1,1,4,4,1,1,4,4,1,1,4,4,1,1,4,4,4,4
345,P,18,F→G,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
